,beg_loc,beg_loc_lat,beg_loc_long,Captives arrived at 1st port
92,Lisbon,38.7077507,-9.1365919,94455.0
93,Liverpool,53.4071991,-2.99168,832553.0
94,London,51.5073219,-0.1276474,447381.0
95,Lorient,47.7477336,-3.3660907,31870.0
96,Lower James River,51.1804223,-2.7612622,0.0
97,Luanda,-8.8272699,13.2439512,3154.0
98,Lyme,43.809756,-72.156143,124.0
99,Macaé,-22.3712958,-41.7866922,309.0
100,Madeira,32.751748750000004,-16.981752048847362,0.0
101,Mangaratiba,-22.9600193,-44.04111,504.0
102,Maranhão,-5.2085503,-45.3930262,393.0
103,Marblehead,42.500096,-70.8578253,78.0
104,Marseille,43.2961743,5.3699525,14304.0
105,Martha Brae,18.4814147,-77.6507383,110.0
106,Martinique,14.6367927,-61.01582685063731,3855.0
107,Maryland,39.5162401,-76.9382069,160.0
108,Massachusetts,42.3788774,-72.032366,0.0
109,Matanzas,23.0469566,-81.5783179,7409.0
110,Middelburg,51.4997302,3.6136962,4180.0
111,Middletown,41.5623178,-72.6509061,0.0
112,Mindin,47.2670914,-2.1674747,0.0
113,Mobile,30.6867339,-88.0848929,110.0
114,Moerdijk,51.66277225,4.525592262905145,400.0
115,Montego Bay,18.4724603,-77.9217357,322.0
116,Montevideo,-34.9058916,-56.1913095,2895.0
117,Montrose,38.4375391,-108.2403855,322.0
118,Montserrat,16.7417041,-62.1916844,120.0
119,Morlaix,48.5824932,-3.8331972,163.0
120,Mozambique,-19.302233,34.9144977,130.0
121,Nantes,47.2186371,-1.5541362,263546.0
122,Netherlands,52.2434979,5.6343227,1548.0
123,Nevis,17.1508813,-62.5852896007,429.0
124,New Bedford,41.6362152,-70.934205,2900.0
125,New England,44.2057083,-70.75378387447887,34.0
126,New London,41.3556187,-72.0997804,261.0
127,New Orleans,29.9759983,-90.0782127,3691.0
128,New York,40.7127281,-74.0060152,19106.0
129,Newbury,51.4020243,-1.3242212,0.0
130,Newcastle upon Tyne,54.9738474,-1.6131572,0.0
131,Newport,41.4899827,-71.3137707,10082.0
132,Norfolk,52.666667,1.0,407.0
133,Odessa,46.4843023,30.7322878,306.0
134,Oporto,41.1494512,-8.6107884,1571.0
135,Paranaguá,-25.5148822,-48.5226695,1331.0
136,Paraíba,-7.1219366,-36.7246845,0.0
137,Pará,-6.8699697,-75.0458515,1552.0
138,Pernambuco,-8.4116316,-37.5919699,83078.0
139,Perth Amboy,40.5200187,-74.2745215,0.0
140,Philadelphia,39.9527237,-75.1635262,530.0
141,Pillau,54.6437214,19.8941584,0.0
142,Piscataqua,43.0943297,-70.7700256,180.0
143,Plymouth,50.3712659,-4.1425658,1264.0
144,Poole,50.74020055,-1.9537512539581008,528.0
145,Port Louis,-20.1624522,57.5028044,1203.0
146,Port-Louis,-20.1624522,57.5028044,0.0
147,Port-au-Prince,18.547327,-72.3395928,987.0
148,Portland,45.5202471,-122.674194,13.0
149,Portsmouth,50.8036831,-1.075614,123.0
150,Portsmouth (NH),43.0702223,-70.7548621,559.0
151,Portugal,39.6621648,-8.1353519,167.0
152,Portuguese Guinea,-12.0575359,-77.0459746,336.0
153,Poulton,51.7071736,-1.8538229,448.0
154,Preston,53.7593363,-2.6992717,131.0
155,Princes Island,45.946369700000005,-66.26834287052358,308.0
156,Providence,41.8239891,-71.4128343,496.0
157,Puerto Rico,18.2247706,-66.4858295,1772.0
158,Rappahannock,38.6926326,-78.1495818,0.0
159,Rhode Island,41.7962409,-71.5992372,27063.0
160,Rio de Janeiro,-22.9110137,-43.2093727,639642.0
161,Rio de Janeiro province,-45.8274696,-67.536955,672.0
162,Rochefort,45.9438412,-0.9687519,2185.0
163,Rotterdam,51.9244424,4.47775,18475.0
164,Saint John (Antigua),17.1184569,-61.8448509,164.0
165,Saint-Brieuc,48.5141134,-2.7603283,250.0
166,Saint-Louis,38.6319657,-90.2428756,3.0
167,Saint-Malo,48.649518,-2.0260409,48942.0
168,Salem,44.9391565,-123.033121,339.0
169,San Lucar,-34.888969,-56.0615154,24840.0
170,Santa Catarina,-27.0628367,-51.114965,350.0
171,Santander,43.4620412,-3.8099719,3458.0
172,Santiago de Cuba,20.0214637,-75.8294928,8786.0
173,Santos,-23.960833,-46.333889,2063.0
174,Savannah,32.0564572,-81.0951271,61.0
175,Setubal,38.5241783,-8.8932341,80.0
176,Seville,37.3886303,-5.9953403,4578.0
177,Shoreham,40.9573208,-72.9076025,196.0
178,Sierra Leone,8.6400349,-11.8400269,397.0
179,South Carolina,33.6874388,-80.4363743,0.0
180,Southeast Brazil,-23.4648073,-46.85841304540889,276512.0
181,Spain,39.3260685,-4.8379791,1766.0
182,Spanish Caribbean,17.255704549999997,-89.00210974964351,0.0
183,St. Barthélemy,17.9036287,-62.811568843006896,285.0
184,St. Croix,17.7289564,-64.75901597858353,1399.0
185,St. Kitts,17.31569295,-62.74468058526273,1554.0
186,St. Lucia,13.90904385,-60.97792414113452,0.0
187,St. Maarten,18.0423736,-63.0549948,0.0
188,St. Thomas,49.4972,3.82019,4795.0
189,Stockton,37.9577016,-121.2907796,0.0
190,São Tomé,0.3389242,6.7313031,24.0
191,São Tomé or Princes Island,0.3301924,6.733343,1704.0
192,Sète,43.4014434,3.6959771,115.0
193,Tenerife,28.2935785,-16.621447121144122,1254.0
194,Texel,53.0775961,4.905731137176439,68210.0
195,Tobago,11.24046155,-60.67200597857749,272.0
196,Topsham,50.6850732,-3.4658063,39.0
197,Trieste,45.6496485,13.7772781,0.0
198,Trinidad de Cuba,22.8003493,-82.770633,362.0
199,USA,39.7837304,-100.445882,712.0
200,Vannes,47.6586772,-2.7599079,1314.0
201,Veere,51.55640385,3.577269355747127,0.0
202,Vigo,42.2376602,-8.7247205,282.0
203,Virginia,37.1232245,-78.4927721,785.0
204,Vitória,-20.3200917,-40.3376682,1639.0
205,Vlissingen,51.49433865,3.415005767601362,83617.0
206,Warren,41.8119602,-79.2654452,608.0
207,Whitehaven,54.5474199,-3.5885335,7553.0
208,Zeeland,51.4162975,3.7028061,53570.0
