,Place,Origin_Count,Purchase_Count,Destination_Count,latitude,longitude
368,Cape Mole,0,1,0,-35.7318267,136.7660495
369,Morlaix,1,0,0,48.5824932,-3.8331972
370,Boston,97,0,17,42.3554334,-71.060511
371,Mediterranean coast (France),1,0,0,,
372,La Balise,0,0,9,48.4334715,-1.6583599
373,Cameroons,0,125,0,35.969854,-78.815865
374,Canary Islands,28,1,3,28.2863989,-16.796011808910734
375,Potomac river,0,0,1,39.0739106,-77.427643
376,Gorée,3,128,1,14.6664099,-17.398279
377,Costa de Africa (mainland coast around S Tome/Principe),0,1,0,6.74041,0.326415
378,Newbury,2,0,0,51.4020243,-1.3242212
379,Jérémie,0,0,6,18.6445835,-74.1139182
380,Jacquin,0,76,0,45.7148623,7.2868752
381,San Domingo (a) Santo Domingo,0,0,12,15.0748637,120.7570195
382,Falmouth (Jam.),0,0,9,18.49,-77.661
383,Honduras,0,0,1,15.2572432,-86.0755145
384,Veere,1,0,0,51.55640385,3.577269355747127
385,Kilongo,0,1,0,-6.7254803,37.6488314
386,Hamilton (Bermuda),0,0,1,32.2956076,-64.7827048
387,Eva,0,1,0,47.5150137,25.4830418
388,Tortola,0,0,65,18.42105685,-64.63883251023499
389,Rio Grande do Sul,0,0,5,-29.8425284,-53.7680577
390,Cork,3,0,0,51.897077,-8.4654674
391,Sète,1,0,0,43.4014434,3.6959771
392,Chester,6,0,0,53.1908873,-2.8908955
393,Formosa,0,3,0,23.9739374,120.9820179
394,Bilbay,0,1,0,38.467632550000005,27.18827795689902
395,Sierra Leone estuary,0,372,0,8.460555,-11.779889
396,Danish West Indies,5,0,10,18.3333,-64.8333
397,Mangaratiba,1,0,10,-22.9600193,-44.04111
398,Bight of Biafra and Gulf of Guinea Islands,0,257,1,2.8333,-8.0
399,Glasgow,5,0,0,55.8609825,-4.2488787
400,Eastern New Jersey,0,0,3,39.8496878,-74.9670446036615
401,Vigo,1,0,0,42.2376602,-8.7247205
402,Calabary,0,2,0,4.9757165,8.3417006
403,Saint John (Antigua),1,0,514,17.1184569,-61.8448509
404,Puerto Rico,14,0,56,18.2247706,-66.4858295
405,Spanish Town,0,0,2,17.9956926,-76.9540831
406,Portuguese Guinea,3,83,0,-12.0575359,-77.0459746
407,Borburata,0,0,1,10.4438067,-67.9629551
408,Liverpool,4476,0,0,53.4071991,-2.99168
409,Iles Plantain,0,3,0,7.9106057,-12.9893869
410,Costa Leste Occidental,0,1,0,,
411,Spanish Caribbean,2,0,14,17.255704549999997,-89.00210974964351
412,Calabar,0,877,0,4.9795999,8.3373597
413,Rio de Janeiro,2341,0,3005,-22.9110137,-43.2093727
414,Paraíba,10,0,21,-7.1219366,-36.7246845
415,Hull,1,0,0,53.7435722,-0.3394758
416,Anomabu,0,610,0,5.1783461,-1.1215406
417,Lorient,127,0,0,47.7477336,-3.3660907
418,Lisbon,855,0,18,38.7077507,-9.1365919
419,Banes,0,0,5,20.9617436,-75.7228786
420,Antonia,0,0,7,53.4713158,21.5168569
421,North Potomac,0,0,7,39.09851825,-77.23774287734113
422,Guadeloupe,24,0,9,16.2528827,-61.5686855
423,Brugge,1,0,0,51.2085526,3.226772
424,Exeter,2,0,0,50.7255794,-3.5269497
425,Belgium,1,0,0,50.6402809,4.6667145
426,Alampo,0,6,0,,
427,Stockton,1,0,0,37.9577016,-121.2907796
428,Port Louis,5,0,0,-20.1624522,57.5028044
429,Salinas,0,1,0,36.6744117,-121.6550372
430,Princes Island,5,93,0,45.946369700000005,-66.26834287052358
431,Gambia,0,623,0,13.470062,-15.4900464
432,Iles de Los,0,158,0,9.48310385,-13.82673456028922
433,Rio de la Plata,0,0,1,-34.8629805,-57.3279806
434,Cartagena,0,0,421,37.6019353,-0.9841152
435,Malembo,0,550,0,-4.1823477,11.9430491
436,Cananéia,0,0,1,-25.0104609,-47.9315628
437,Maricá,0,0,9,-22.9059188,-42.7926326
438,Black River,0,0,9,44.012571,-75.793991
439,Africa,9,4721,3,11.5024338,17.7578122
440,British Honduras,0,0,4,16.8259793,-88.7600927
441,Apammin,0,13,0,,
442,Gold Coast + Bight of Benin + Bight of Biafra,0,11,0,5.546944444,-0.1825
443,Windward Coast (Nunez - Assini),0,98,0,5.161389,-3.470278
444,Bissagos,0,2,1,11.5700691,-15.529043729156465
445,Bilbao,2,0,0,43.2630018,-2.9350039
446,Accra,0,50,1,5.5571096,-0.2012376
447,Patuxent,0,0,19,38.5392883,-76.748577
448,Sierra Leone,2,37,1,8.6400349,-11.8400269
449,Gabon,0,134,0,-0.8999695,11.6899699
450,Netherlands,33,0,0,52.2434979,5.6343227
451,Côte de Malaguette (runs through to Cape Palmas on Windward Coast),0,1,0,-7.726414,4.369497
452,Rotterdam,87,0,0,51.9244424,4.47775
453,Buenos Aires,5,0,99,-34.6075682,-58.4370894
454,Salem,10,0,0,44.9391565,-123.033121
455,Tabou,0,1,0,4.4194457,-7.3603666
456,Amsterdam,116,0,0,52.3727598,4.8936041
457,Poulton,4,0,0,51.7071736,-1.8538229
458,Bassa,0,96,0,43.7234343,10.8739439
459,Little Popo,0,39,0,42.714983,-108.64626070212094
460,Jamaica,47,0,1570,18.1850507,-77.3947693
461,Goa,2,0,0,15.3004543,74.0855134
462,Coanza River,0,2,0,-10.647407,16.6220516
463,South Potomac,0,0,12,39.6203459,-77.73156608786874
464,Louisiana,0,0,9,30.8703881,-92.007126
465,Penido,0,1,0,-21.724035,-43.5404823
466,???,0,0,7,,
467,Philadelphia,13,0,3,39.9527237,-75.1635262
468,Baía de Botafogo,0,0,4,-12.1209067,-41.3255416
469,Barbados,292,0,1772,13.1500331,-59.5250305
470,Colchester,1,0,0,51.8896903,0.8994651
471,Dutch Caribbean,0,0,1,12.1845,-68.6607922625
472,Petit Mesurado,0,2,0,-10.817182,6.311902
473,Saint-Louis,8,287,0,38.6319657,-90.2428756
474,Spain,11,0,0,39.3260685,-4.8379791
475,Cayes (Les),0,0,216,18.1944428,-73.7511601
476,Cuba,32,0,336,23.0131338,-80.8328748
477,Trinidad de Cuba,10,0,36,22.8003493,-82.770633
478,Curaçao,0,0,274,12.21339425,-69.0408499890865
479,Honfleur,116,0,0,49.4197222,0.2338889
480,Hampton,0,0,4,37.0300969,-76.3452057
481,Campos,0,0,107,-21.7558619,-41.3326895
482,Rio Forcados/Formosa/Benin,0,2,0,,
483,Vitória,2,0,0,-20.3200917,-40.3376682
484,Delagoa,0,3,0,-25.74488745,28.22283986163309
485,Costa da Mina,0,2097,0,36.6191504,-6.3603247
486,Cess,0,6,0,52.7042624,1.6172798
487,Danish Gold Coast,0,2,0,5.546944444,-0.1825
488,Elmina,0,255,1,5.085879,-1.350578
489,Mozambique,1,394,0,-19.302233,34.9144977
490,Savanna la Mar,0,0,19,18.2193686,-78.1326673
491,Dordrecht,1,0,0,51.7958812,4.6779351
492,Gulf of Guinea islands,0,1,0,0.3301924,6.733343
493,Pokesoe (Princes Town),0,4,0,,
494,British Leewards,0,0,2,17.1167,-61.85
495,Kingston,12,0,1588,17.9712148,-76.7928128
496,Guernsey,4,0,0,49.4566233,-2.5822348
497,Mano,0,6,0,44.4165387,-0.6726434
498,Fort Dauphin,0,0,3,-25.0296943,46.9903888
499,Martinique,28,0,662,14.6367927,-61.01582685063731
500,Barcelona,10,0,0,41.3828939,2.1774322
501,Liberia,0,0,8,5.7499721,-9.3658524
502,Kingston (Demerera),0,0,1,6.7898479,-58.1260851
503,Ivory Coast,0,4,0,7.9897371,-5.5679458
